state,class_code,description,base_rate
CA,3165,AIR COND/REFRIGERATION EQUIP MFG; REFRIGERATOR MFG; SOLAR PANEL MFG,4.292
CA,3169,STOVE OR OVEN MFG; WATER HEATER MFG,4.873
CA,3175,FURNACE OR HEATER MFG,5.035
CA,3178,ELECTRONIC ELEMENT MFG,1.989
CA,3179,ELECTRICAL APPARATUS MFG,2.636
CA,3180,LIGHT FIXTURE OR LAMP MFG OR ASSEMBLY,4.838
CA,3220,CAN MFG,2.565
CA,3241,"WIRE, WIRE ROPE OR WIRE CABLE MFG – WIRE DRAWING",4.227
CA,3257,WIRE GOODS MFG,5.097
CA,3339,FOUNDRIES – INVESTMENT CASTING,6.142
CA,3365,WELDING OR CUTTING,5.475
CA,3372,ELECTROPLATING; BUFFING/POLISHING METAL; GALVANIZING,5.904
CA,3383,JEWELRY MFG; CLOCK MFG; WATCH MFG; TROPHY MFG,2.913
CA,3400,METAL GOODS MFG,7.065
CA,3401,TUBE OR PIPE PRODUCTS MFG; GATE OR CORRAL MFG,4.655
CA,3501,MACHINERY MFG – PORTABLE TOOLS; MACHINERY MFG – SWIMMING POOL/SPA,5.811
CA,3507,MACHINERY OR EQUIPMENT MFG,4.011
CA,3560,MACHINERY MFG – COMMERCIAL AND INDUSTRIAL,3.115
CA,3568,ELECTRICAL CONNECTOR MFG,2.107
CA,3569,ELECTRIC MOTOR MFG OR REPAIR,2.310
CA,3570,ELECTRIC APPLIANCE MFG,3.182
CA,3572,MEDICAL INSTRUMENT MFG,0.806
CA,3573,POWER SUPPLY MFG,1.708
CA,3574,"MACHINE MFG; GOLF CLUB/FISHING ROD MFG, REPAIR OR ASSEMBLY",2.273
CA,3577,PRINTED CIRCUIT BOARD ASSEMBLING,1.020
CA,3612,PUMP/HYDRAULIC APPARATUS MFG OR REPAIR,3.478
CA,3620,BOILER MFG; PLATE STEEL PRODUCTS FABRICATION,6.857
CA,3632,MACHINE SHOPS – NOC,2.692
CA,3634,VALVE MFG,2.856
CA,3643,ELECTRIC POWER/TRANS EQUIP MFG; ELECTRIC CONTROL PANEL MFG,1.566
CA,3647,"BATTERY MFG; LEAD, RECLAIMING OR ALLOYING",6.647
CA,3651,ELECTRICAL WIRE HARNESS MFG,3.708
CA,3681,INSTRUMENT MFG; COMPUTER MFG; TELECOM EQUIP MFG; A/V PRODUCTS MFG,0.480
CA,3682,INSTRUMENT MFG – NON-ELECTRONIC,1.201
CA,3683,SPEAKER MFG,0.470
CA,3719,OIL OR GAS REFINERIES,1.587
CA,3724,MILLWRIGHT WORK; ELECTRICAL MACHINERY/AUXILIARY APPARATUS,4.382
CA,3726,"BOILER INSTALLATION, SERVICE OR REPAIR",2.078
CA,3805,AIRCRAFT ENGINE MFG OR REBUILDING; AUTO/TRUCK ENGINE MFG,1.420
CA,3808,AUTO OR MOTORCYCLE MFG OR ASSEMBLING,4.332
CA,3815,"TRUCK, TRUCK TRAILER OR BUS MFG/ASSEMBLING; TRUCK BODY MFG",5.762
CA,3821,AUTO OR AUTO TRUCK PARTS DISMANTLING,8.635
CA,3828,AUTO OR TRUCK PARTS REBUILDING,4.075
CA,3830,AIRCRAFT/SPACECRAFT MFG; UNMANNED AIRCRAFT SYSTEM MFG – 55 POUNDS OR HEAVIER,1.965
CA,3831,MACHINE SHOPS – AIRCRAFT COMPONENTS,2.918
CA,3840,"AUTO, TRUCK OR MOTORCYCLE PARTS MFG",5.271
CA,4000,SAND OR GRAVEL DIGGING; CLAY DIGGING; SALT PRODUCTION; DREDGING,3.609
CA,4034,CONCRETE PRODUCTS MFG,5.863
CA,4036,PLASTER BOARD MFG,5.125
CA,4038,PLASTER OR CONCRETE STATUARY OR ORNAMENT MFG; TAXIDERMIST,7.374
CA,4041,BRICK OR CLAY BUILDING PRODUCTS MFG,4.263
CA,4049,POTTERY PRODUCTS MFG,4.214
CA,4111,GLASSWARE MFG; INCANDESCENT LAMP MFG; CATHEDRAL/ART GLASS MFG,2.650
CA,4112,INTEGRATED CIRCUIT AND SEMICONDUCTOR WAFER MFG,0.346
CA,4114,GLASSWARE MFG,3.346
CA,4130,GLASS MERCHANTS,7.071
CA,4150,OPTICAL GOODS MFG; LENS MFG,2.655
CA,4239,PAPER OR CARDBOARD STOCK MFG; FIBER PRODUCTS MFG,3.859
CA,4240,BOX MFG – PAPER OR CARDBOARD – RIGID,6.981
CA,4243,BOX MFG – PAPER OR CARDBOARD – FOLDING,4.696
CA,4244,CORRUGATED OR FIBER BOARD CONTAINER MFG,5.263
CA,4250,PAPER COATING/LAMINATING; COMPUTER PRINTING/TYPEWRITER RIBBON MFG/REFURBISHING,4.940
CA,4251,ENVELOPE MFG,4.914
CA,4279,PAPER GOODS MFG; BAG MFG,6.899
CA,4283,BUILDING OR ROOFING PAPER OR FELT ASPHALT SATURATION,3.319
CA,4286,BAG MFG – PLASTIC,7.381
CA,4295,PRINTING OPERATION – SCREEN PRINTING; SCREEN PRINTED MERCHANDISE DEALERS,5.383
