state,class_code,description,base_rate
CA,8720,INSPECTION FOR INSURANCE/SAFETY/VALUATION; ELEVATOR INSPECTING; WEIGHERS/SAMPLERS/INSPECTORS ON DOCKS/RAIL STATIONS/WAREHOUSES; UNMANNED AIRCRAFT SYSTEM OPERATION – LESS THAN 55 POUNDS,2.079
CA,8729,ELEVATOR SERVICE INSPECTIONS/OILING/ADJUSTING – NO REPAIR,0.987
CA,8740,APT/CONDO COMPLEX / BLDG / WAREHOUSES / COMM & RES MIXED-USE BLDG OPERATION – PROPERTY MGMT SUPERVISORS,1.393
CA,8741,REAL ESTATE AGENCIES,0.158
CA,8742,SALESPERSONS – OUTSIDE,0.349
CA,8743,MORTGAGE BROKERS,0.115
CA,8744,BOY/GIRL SCOUT COUNCILS – DISTRICT EXECS,0.349
CA,8745,NEWS AGENTS OR DISTRIBUTORS OF MAGAZINES/PERIODICALS,11.282
CA,8746,NEWSPAPER PUBLISHING – REPORTERS/PHOTOGRAPHERS,0.349
CA,8748,AUTO OR TRUCK DEALERS – SALESPERSONS,0.762
CA,8749,MORTGAGE BANKERS,0.129
CA,8755,LABOR UNIONS,0.682
CA,8800,MAILING OR ADDRESSING COMPANIES,3.792
CA,8801,CREDIT UNIONS,0.445
CA,8803,"AUDITING, ACCOUNTING OR MANAGEMENT CONSULTING",0.099
CA,8804,SUBSTANCE USE DISORDER RECOVERY HOMES; SOCIAL REHAB FACILITIES FOR ADULTS,2.836
CA,8806,SHELTERED WORKSHOPS,2.941
CA,8807,"NEWSPAPER, MAGAZINE OR BOOK PUBLISHING",0.170
CA,8808,BANKS,0.426
CA,8810,CLERICAL OFFICE EMPLOYEES,0.222
CA,8811,LIBRARIES – PRIVATE – PROFESSIONAL EMPLOYEES,0.222
CA,8812,LIBRARIES – PUBLIC,0.222
CA,8813,PRINTING OPERATION – EDITING AND DESIGNING; BOOKBINDING OPERATION – EDITING AND DESIGNING,0.567
CA,8818,NEWSPAPER PUBLISHING OR PRINTING – EDITING AND DESIGNING,0.356
CA,8820,LAW FIRMS,0.220
CA,8821,LAW FIRM SUPPORT SERVICES,0.680
CA,8822,INSURANCE COMPANIES,0.377
CA,8823,RESIDENTIAL CARE FACILITIES  FOR CHILDREN,3.428
CA,8827,HOME CARE SERVICES; NURSING CARE,2.888
CA,8829,SKILLED NURSING FACILITIES; CONVALESCENT NURSING FACILITIES,2.928
CA,8830,INSTITUTIONAL EMPLOYEES,1.473
CA,8831,HOSPITALS – VETERINARY; KENNELS,1.555
CA,8834,PHYSICIANS’ PRACTICES/OUTPATIENT CLINICS,0.999
CA,8838,MUSEUMS,1.133
CA,8839,DENTAL OR ORTHODONTIA PRACTICES,0.967
CA,8840,"CHURCHES, TEMPLES, MOSQUES AND SYNAGOGUES",0.293
CA,8846,PRINTING OPERATION – SCREEN PRINTING – EDITING AND DESIGNING; SCREEN PRINTED MERCHANDISE DEALERS,1.488
CA,8847,BEVERAGE CONTAINER COLLECTION OR REDEMPTION,6.982
CA,8850,CHECK CASHERS,1.996
CA,8851,CONGREGATE LIVING FACILITIES – ELDERLY,3.658
CA,8852,HOME INFUSION THERAPISTS,1.707
CA,8859,COMPUTER PROGRAMMING/SOFTWARE DEVELOPMENT; INTERNET/WEB-BASED APPLICATION DEVELOPMENT,0.034
CA,8868,COLLEGES OR SCHOOLS – PRIVATE – PROFESSIONALS,0.801
CA,8870,FITNESS INSTRUCTION PROGRAMS OR STUDIOS,1.014
CA,8871,CLERICAL TELECOMMUTER EMPLOYEES,0.099
CA,8874,INSTRUMENT MFG–ELECTRONIC–DESIGN; COMPUTER MFG-DESIGN; TELECOMMUNICATIONS EQUIP MFG-DESIGN; AUDIO/VIDEO PRODUCTS MFG-DESIGN; INTEGRATED CIRCUIT MFG-DESIGN,0.043
CA,8875,PUBLIC COLLEGES OR SCHOOLS; SUPERINTENDENT OF PUBLIC SCHOOLS OFFICE,1.017
CA,9007,APT/CONDO OPERATION FOR SENIORS,4.668
CA,9008,JANITORIAL SERVICES,7.906
CA,9009,COMMERCIAL PROPERTIES – N.O.C. – OTHER,3.148
CA,9010,MOBILE HOME PARK OPERATION – OTHER,4.582
CA,9011,APT/CONDO COMPLEX OPERATION – N.O.C. – OTHER; COMM/RES MIXED-USE – OTHER,4.244
CA,9015,BUILDING OPERATION – N.O.C. – OTHER; CHURCH/TEMPLE/MOSQUE/SYNAGOGUE – OTHER; LIBRARIES – PRIVATE – OTHER,4.993
CA,9016,AMUSEMENT/REC FACILITIES; DOG SHOWS; HORSE SHOWS/RODEOS – NOT STABLE EMPLOYEES; BOAT MARINA/RENTAL OPERATION,3.199
CA,9031,PEST CONTROL,3.912
CA,9033,HOUSING AUTHORITIES,3.848
CA,9043,HOSPITALS,1.968
CA,9048,CAMPS; BOY/GIRL SCOUT COUNCILS – CAMP OPERATIONS,2.395
CA,9050,"HOTELS, MOTELS OR SHORT-TERM RESIDENTIAL HOUSING",6.352
CA,9053,HEALTH CLUBS OR GYMS; SWIMMING POOLS/CLUBS; CLUBS – RACQUET SPORTS,1.957
CA,9054,SPAS OR BATHS,3.295
CA,9058,"HOTELS, MOTELS OR SHORT-TERM RESIDENTIAL HOUSING - FOOD OR BEVERAGE EMPLOYEES",2.888
CA,9059,DAY CARE CENTERS – CHILD,2.005
CA,9060,CLUBS – COUNTRY OR GOLF,4.243
CA,9061,CLUBS – N.O.C.,4.164
CA,9066,HOMEOWNERS ASSOCIATIONS,3.800
CA,9067,CLUBS – BOYS AND GIRLS,1.513
CA,9069,CLUBS – GAMING,3.815
CA,9070,RESIDENTIAL CARE FACILITIES – ELDERLY/ADULTS,5.403
CA,9080,RESTAURANTS - FULL SERVICE,2.888
CA,9081,RESTAURANTS - N.O.C.,2.888
CA,9082,CATERERS - NOT RESTAURANTS,2.888
CA,9083,RESTAURANTS - FAST FOOD OR FAST CASUAL,2.888
CA,9084,BARS OR TAVERNS - NOT RESTAURANTS,2.888
CA,9085,RESIDENT CARE – DEVELOPMENTALLY DISABLED,3.415
CA,9092,BOWLING CENTERS; BILLIARD HALLS; SKATING CENTERS,2.124
CA,9095,"EVENT MARKET, FESTIVAL OR TRADE SHOW OPERATION",3.751
CA,9096,RESIDENTIAL CLEANING SERVICES,9.680
CA,9097,SWIMMING POOL CLEANING AND SERVICING,3.457
CA,9101,COLLEGES OR SCHOOLS – PRIVATE – ALL OTHERS,4.767
CA,9151,THEATERS – MUSICAL ENTERTAINMENT,0.361
CA,9154,THEATERS – NOT MOTION PICTURE,2.529
CA,9155,THEATERS – MOTION PICTURE,0.857
CA,9156,THEATERS – DANCE/OPERA/THEATER COMPANIES,4.399
CA,9180,AMUSEMENT/REC FACILITIES – DEVICE OPERATIONS; SHOOTING CLUBS/RANGES,4.298
CA,9181,ATHLETIC TEAM/FACILITY – PLAYERS AND OFFICIALS,13.514
CA,9182,ATHLETIC TEAM / FACILITY – MAINTENANCE,1.403
CA,9184,SKI RESORTS – ALPINE,9.695
CA,9185,CARNIVALS,7.198
CA,9220,CEMETERY OPERATION; CREMATORY OPERATION,5.715
CA,9402,"SEWER, TANK OR HAZARDOUS SPILL CLEANING",4.251
CA,9403,GARBAGE OR REFUSE COLLECTING; STREET SWEEPING SERVICE COMPANIES; DOCUMENT DESTRUCTION,7.779
CA,9410,MUNICIPAL/STATE/PUBLIC AGENCY,0.904
CA,9420,MUNICIPAL/STATE/PUBLIC AGENCY – OTHERS,7.782
CA,9422,ROAD DISTRICTS OR DEPARTMENTS,2.595
CA,9424,GARBAGE/TRANSFER STATION/MATERIAL RECOVERY; RECYCLED MATERIAL DEALERS,6.040
CA,9426,SEPTIC/PORTABLE TOILET SERVICES,7.055
CA,9501,PAINTING – SHOP ONLY; PAINTING – AUTO/TRUCK BODIES,4.598
CA,9507,SIGN PAINTING OR LETTERING,3.364
CA,9516,"TELEVISION/VIDEO/AUDIO/RADIO EQUIPMENT – INSTALLATION, SERVICE OR REPAIR",2.397
CA,9519,HOUSEHOLD APPLIANCES; WATER SOFTEN/CONDITION/FILTRATION SYSTEM,6.433
CA,9521,HOUSE FURNISHINGS; FLOOR COVERING; WINDOW COVERING,4.558
CA,9522,UPHOLSTERING – FURNITURE; AUTO UPHOLSTERING; UPHOLSTERING – COFFIN/CASKET; UPHOLSTERING – WHEELCHAIR; UPHOLSTERING – NOC,6.713
CA,9529,SCAFFOLDS/CONSTRUCTION ELEVATORS; DECORATING; TENT ERECTION/REMOVAL/REPAIR,6.814
CA,9531,TELECOMM ANTENNA EQUIP INSTALL/SERVICE/REPAIR; SATELLITE TV/INTERNET EQUIP INSTALL/SERVICE/REPAIR,3.292
CA,9549,ADVERTISING COMPANIES,11.948
CA,9552,SIGN ERECTION OR REPAIR,11.310
CA,9586,"BARBER SHOPS, HAIR STYLING SALONS AND PERSONAL APPEARANCE SERVICES",1.450
CA,9610,MOTION PICTURES – PRODUCTION,2.004
CA,9620,FUNERAL DIRECTORS,4.205
